Instituição;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);SR;TCip;
BCP SECURITIES DTVM - PRUDENCIAL;1000087418;n2;I;3;RIO DE JANEIRO;RJ;12/2025;Não;Não;3.040;0;S4;3
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;C;1;PORTO ALEGRE;RS;12/2025;Sim;Não;31.972.841;0;S3;1
BECKER FINANCEIRA S.A. - CFI - PRUDENCIAL;1000084507;n1;C;2;CERRO LARGO;RS;12/2025;Não;Não;233.055;0;S4;1
BEES IP - PRUDENCIAL;1000087731;n4;I;3;SAO PAULO;SP;12/2025;Não;Sim;220.128;0;NA;2
BEETELLERPAY IP - PRUDENCIAL;1000086718;n4;I;2;CAMPO GRANDE;MS;12/2025;Não;Sim;15.464;0;NA;2
BELLUNO IP - PRUDENCIAL;1000086983;n4;I;2;JARAGUA DO SUL;SC;12/2025;Não;Sim;132.923;0;NA;2
BELVO IP - PRUDENCIAL;1000086433;n4;I;3;SAO PAULO;SP;12/2025;Não;Sim;7.758;0;NA;2
BEZZ SCD - PRUDENCIAL;1000086127;n1;I;2;RIO DE JANEIRO;RJ;12/2025;Não;Sim;1.451;0;S5;1
BFC SCD - PRUDENCIAL;1000087982;n1;I;2;RECIFE;PE;12/2025;Não;Sim;5.957;0;S5;1
BGC LIQUIDEZ DTVM LTDA - PRUDENCIAL;1000084033;n2;I;3;RIO DE JANEIRO;RJ;12/2025;Não;Não;365.260;0;S4;3
BIGCASH SCD - PRUDENCIAL;1000085056;n1;I;2;GOVERNADOR VALADARES;MG;12/2025;Não;Sim;34.341;0;S5;1
BIT SCD - PRUDENCIAL;1000088077;n1;I;2;CAMPINAS;SP;12/2025;Não;Sim;3.507;0;S5;1
BK IP - PRUDENCIAL;1000088101;n4;I;2;BARUERI;SP;12/2025;Não;Sim;104.167;0;NA;2
BLU IP - PRUDENCIAL;1000086677;n4;I;2;RIO DE JANEIRO;RJ;12/2025;Não;Sim;597.236;0;NA;2
BMG - PRUDENCIAL;1000080178;b1;C;2;SAO PAULO;SP;12/2025;Sim;Não;47.287.867;192.408;S3;1
BMP SCMEPP LTDA - PRUDENCIAL;1000083292;n1;C;2;SAO PAULO;SP;12/2025;Não;Sim;3.155.694;0;S5;1
BMS SCD - PRUDENCIAL;1000083333;n1;I;2;FORTALEZA;CE;12/2025;NI;NI;NI;NI;S5;1
BMW - PRUDENCIAL;1000080635;n1;C;3;SAO PAULO;SP;12/2025;Não;Não;4.199.754;0;S4;1
BNDES - PRUDENCIAL;1000081847;b4;C;1;RIO DE JANEIRO;RJ;12/2025;Sim;Não;1.109.362.503;0;S2;1
BNK DIGITAL SCD - PRUDENCIAL;1000086031;n1;I;2;SAO JOSE DO RIO PRETO;SP;12/2025;Não;Sim;20.793;0;S5;1
BNP PARIBAS - PRUDENCIAL;1000080673;b1;C;3;SAO PAULO;SP;12/2025;Sim;Não;50.549.090;0;S3;1
